Country,Carbon dioxide emissions per capita (CO2 equivalent),Primary energy supply per capita (oil equivalent)
Azerbaijan,3.35,1631
Afghanistan,0.32,
United Arab Emirates,19.29,9164
Armenia,2.46,1326
Yemen,0.26,85
Israel,6.09,2434
Iraq,2.86,1088
Iran,7.31,3339
India,1.62,671
Indonesia,2.03,860
Uzbekistan,3.32,1407
Oman,15.42,5910
Kazakhstan,11.77,3614
Qatar,31.69,15963
Cambodia,0.79,516
Cyprus,6.86,2506
Kyrgyzstan,1.38,610
Kuwait,23.07,8437
Saudi Arabia,13.83,6462
Georgia,2.67,1426
Syria,1.03,404
Singapore,8.35,6463
Sri Lanka,0.95,529
Thailand,3.28,1812
South Korea,10.75,5616
Tajikistan,0.76,376
China,7.54,2647
North Korea,2.09,627
Turkmenistan,9.34,3793
Turkey,4.76,1895
Japan,7.95,3184
Nepal,0.44,518
Pakistan,0.87,527
Bahrain,22.4,10967
Bangladesh,0.58,291
Timor-Leste,0.47,
Philippines,1.16,537
Bhutan,0.82,
Brunei,20.46,9098
Vietnam,2.92,977
Malaysia,6.73,2834
Myanmar,0.52,401
Maldives,3.39,
Mongolia,6.74,1941
Jordan,1.85,746
Laos,2.41,754
Lebanon,2.86,1003
Algeria,3.24,1454
Angola,0.57,438
Uganda,0.13,482
Egypt,1.89,891
Eswatini,1.04,1038
Ethiopia,0.11,384
Eritrea,0.18,266
Ghana,0.65,373
Cabo Verde,0.91,
Gabon,0.97,2135
Cameroon,0.24,375
Gambia,0.29,
Guinea,0.34,
Guinea-Bissau,0.15,
Kenya,0.33,539
Ivory Coast,0.44,419
Comoros,0.49,
Republic of the Congo,0.63,594
DR Congo,0.02,330
Sao Tome and Principe,0.66,
Zambia,0.31,604
Sierra Leone,0.13,
Djibouti,0.28,
Zimbabwe,0.56,724
Sudan,0.43,447
Equatorial Guinea,1.81,1436
Seychelles,6.14,
Senegal,0.55,300
Somalia,0.04,
Tanzania,0.26,405
Chad,0.11,197
Central African Republic,0.05,
Tunisia,2.19,946
Togo,0.21,437
Nigeria,0.48,773
Namibia,1.41,758
Niger,0.1,147
Burkina Faso,0.23,274
Burundi,0.06,
Benin,0.42,380
Botswana,2.41,955
Madagascar,0.14,316
Malawi,0.09,
Mali,0.29,278
South Africa,6.6,2092
South Sudan,0.17,73
Mozambique,0.22,350
Mauritius,3.13,1073
Mauritania,0.94,413
Morocco,1.82,614
Libya,6.12,2499
Liberia,0.12,
Rwanda,0.1,360
Lesotho,1.36,
Iceland,4.16,15757
Ireland,6.71,2743
Albania,1.38,810
Andorra,,
Italy,5.24,2530
Ukraine,3.64,2013
Estonia,6.24,3431
Austria,6.76,3718
Netherlands,7.67,4058
North Macedonia,3.32,1294
Greece,4.66,1905
United Kingdom,4.75,2350
Croatia,3.87,2201
Kosovo,5.03,1615
San Marino,,
Switzerland,4,2616
Sweden,3.3,4581
Spain,4.47,2441
Slovakia,5.62,3302
Slovenia,5.82,3140
Serbia,6.47,2356
Czech Republic,8.62,3990
Denmark,4.72,2768
Germany,7.5,3461
Norway,6.69,5304
Vatican City,,
Hungary,4.64,2828
Finland,6.48,5994
France,4.28,3450
Bulgaria,5.62,2758
Belarus,5.69,2918
Belgium,7.45,4792
Bosnia and Herzegovina,6.33,2249
Poland,7.84,2830
Portugal,3.4,1955
Malta,3.11,1363
Monaco,,
Moldova,3.38,1600
Montenegro,4.13,1747
Latvia,3.5,2377
Lithuania,4.1,2760
Liechtenstein,,
Luxembourg,12.27,5629
Romania,3.65,1788
Russia,11.7,5809
United States,13.76,6470
Antigua and Barbuda,6.84,
El Salvador,1.1,716
Canada,13.22,7591
Cuba,1.82,794
Guatemala,1.07,943
Grenada,2.48,
Costa Rica,1.44,977
Jamaica,2.11,884
Saint Kitts and Nevis,4.44,
Saint Vincent and the Grenadines,0.27,
Saint Lucia,2.76,
Dominican Republic,2.41,939
Dominica,2.32,
Trinidad and Tobago,8.56,10047
Nicaragua,0.69,583
Haiti,0.27,403
Panama,2.43,1027
Bahamas,5.95,
Barbados,4.47,
Belize,1.68,
Honduras,0.89,562
Mexico,2.93,1394
Argentina,3.72,1750
Uruguay,2.2,1631
Ecuador,1.91,830
Guyana,3.52,2411
Colombia,1.55,849
Suriname,4.22,1672
Chile,4.32,2011
Paraguay,1.24,1109
Brazil,2.05,1395
Venezuela,1.6,1086
Peru,1.38,704
Bolivia,1.67,749
Australia,14.02,5060
Kiribati,0.59,
Cook Islands,0.07,
Samoa,1.19,
Solomon Islands,0.45,
Tuvalu,0.89,
Tonga,1.88,
Nauru,4.26,
Niue,0.01,
New Zealand,6.05,3864
Vanuatu,0.69,
Papua New Guinea,0.7,
Palau,12.27,
Fiji,1.15,
Marshall Islands,3.73,
Micronesia,0.15,
