Country,tertiary_industry_share,internet_usage_rate,
Azerbaijan,48.8,86,0
Afghanistan,55.9,,0
United Arab Emirates,69.3,100,1
Armenia,33,78.6,0
Yemen,56.3,,0
Israel,83.9,90.3,1
Iraq,65.9,48.9,0
Iran,52,78.6,0
India,31,46.3,0
Indonesia,48.8,62.1,0
Uzbekistan,58.8,76.6,0
Oman,53.6,96.4,0
Kazakhstan,67.8,90.9,0
Qatar,59.3,100,1
Cambodia,36.5,60.2,0
Cyprus,80.4,90.8,1
Kyrgyzstan,50.3,77.9,0
Kuwait,77,99.7,1
Saudi Arabia,74.3,100,1
Georgia,45.5,76.4,0
Syria,55.4,,0
Singapore,85.3,96.9,1
Sri Lanka,46,44.5,0
Thailand,47.4,85.3,0
South Korea,70.3,97.6,1
Tajikistan,38.7,,0
China,47.1,73.1,0
North Korea,,,0
Turkmenistan,,,0
Turkey,56.5,81.4,0
Japan,73.8,82.9,1
Nepal,45.1,51.6,0
Pakistan,37.5,21,0
Bahrain,64.2,100,0
Bangladesh,39,38.9,0
Timor-Leste,50.7,39.5,0
Philippines,58.8,52.7,0
Bhutan,41.4,85.6,0
Brunei,77.1,98.1,1
Vietnam,35.8,74.2,0
Malaysia,63.9,96.8,0
Myanmar,34.9,44,0
Maldives,71.1,85.8,0
Mongolia,51.2,81.6,0
Jordan,78.3,86,0
Laos,23.3,62,0
Lebanon,76,86.6,0
Algeria,59,70.8,0
Angola,38.5,32.6,0
Uganda,26.3,10.3,0
Egypt,52.6,72.1,0
Eswatini,69.1,58.9,0
Ethiopia,30.2,16.7,0
Eritrea,,21.7,0
Ghana,40.8,68.2,0
Cape Verde,67.6,69.8,0
Gabon,46.9,71.7,0
Cameroon,38.4,45.6,0
Gambia,52.3,33,0
Guinea,19.6,34.7,0
Guinea-Bissau,40.2,35.2,0
Kenya,51.4,28.8,0
Côte d'Ivoire,45.1,45.4,0
Comoros,50.1,27.3,0
Republic of the Congo,44.2,,0
Democratic Republic of the Congo,29.5,22.9,0
São Tomé and Príncipe,59.3,51.2,0
Zambia,34.2,21.2,0
Sierra Leone,43.5,,0
Djibouti,93.6,68.9,0
Zimbabwe,32.9,34.8,0
Sudan,40.9,,0
Equatorial Guinea,18.9,53.9,0
Seychelles,82.7,81.6,0
Senegal,55.9,58.1,0
Somalia,56,,0
Tanzania,26.6,31.6,0
Chad,20.7,17.9,0
Central African Republic,,10.6,0
Tunisia,51.8,79,0
Togo,46.9,35,0
Nigeria,47.6,55.4,0
Namibia,61.2,53,0
Niger,18.3,22.4,0
Burkina Faso,47.7,21.6,0
Burundi,11.6,5.8,0
Benin,48,34,0
Botswana,66.9,73.5,0
Madagascar,16.3,19.7,0
Malawi,31.7,24.4,0
Mali,22.6,34.5,0
South Africa,62.6,72.3,0
South Sudan,,,0
Mozambique,20.2,17.4,0
Mauritius,71.7,67.6,0
Mauritania,51.8,58.8,0
Morocco,47.5,88.1,0
Libya,,,0
Liberia,77,33.6,0
Rwanda,30.2,30.5,0
Lesotho,35.8,48,0
Iceland,78,99.7,1
Ireland,76.9,95.2,1
Albania,43.4,79.3,0
Andorra,,93.9,1
Italy,69.3,74.9,1
Ukraine,60.7,79.2,0
Estonia,68.8,91,1
Austria,70.1,92.5,1
Netherlands,84.4,92.1,1
North Macedonia,59.9,83,0
Greece,73.4,78.5,0
United Kingdom,80.9,96.7,1
Croatia,65.9,81.3,0
Kosovo,72.1,,0
San Marino,70.2,74.9,1
Switzerland,77.5,95.6,1
Sweden,81.1,94.7,1
Spain,76.1,93.9,1
Slovakia,61.7,88.9,0
Slovenia,65.5,89,1
Serbia,52.2,81.2,0
Czech Republic,60.4,82.7,1
Denmark,78.9,98.9,1
Germany,71.9,91.4,1
Norway,78.6,99,1
Vatican City,,74.9,0
Hungary,64.2,88.6,0
Finland,75.2,92.8,1
France,78.5,86.1,1
Bulgaria,63.6,75.3,0
Belarus,59,86.9,0
Belgium,80,92.8,1
Bosnia and Herzegovina,52.1,75.7,0
Poland,61.1,85.4,0
Portugal,72.7,82.3,0
Malta,81.9,87.5,1
Monaco,,86.1,0
Moldova,31.9,61.3,0
Montenegro,76.7,82.2,0
Latvia,69.6,91.2,0
Lithuania,68.8,86.9,0
Liechtenstein,70.5,95.6,1
Luxembourg,90.2,98.7,1
Romania,55.9,83.6,0
Russia,67.9,88.2,0
United States,79.1,91.8,1
Antigua and Barbuda,81.6,95.7,0
El Salvador,61.6,62.9,0
Canada,79.3,92.8,1
Cuba,64.2,71.1,0
Guatemala,50.9,50.8,0
Grenada,68.1,77.8,0
Costa Rica,67.7,82.7,0
Jamaica,67.2,82.4,0
Saint Kitts and Nevis,51,79.5,0
Saint Vincent and the Grenadines,64.9,84.9,0
Saint Lucia,73.5,78.1,0
Dominican Republic,72.7,85.2,0
Dominica,59.1,80.9,0
Trinidad and Tobago,86.8,79,0
Nicaragua,51.4,57.1,0
Haiti,62,38.9,0
Panama,67.8,67.5,0
Bahamas,83.4,94.3,1
Barbados,80.3,85.8,0
Belize,65.9,62,0
Honduras,49,48.1,0
Mexico,63,75.6,0
Argentina,77.6,87.2,0
Uruguay,73.7,90.1,0
Ecuador,51.2,76.2,0
Guyana,60.5,84.8,1
