group_name,years_active,Max_MV_views,Max_cd_sales,youtuve_subs,live_audience
Nogizaka46,14,92720661,1316000,1730000,619816
Sakurazaka46,9,196763567,900000,1200000,426000
Hinatazaka46,10,37628540,550000,755000,359505
AKB48,20,261589581,1950000,2720000,676000
Babymetal,15,212910256,234500,3490000,1010000
Perfume,25,83797799,145000,1110000,329000
Fruits_Zipper,3,66717560,317000,552000,50000
Morning_Musume,28,51172342,1647401,591000,127000
equal_love,8,26968515,400000,558000,115000
SKE48,17,7843411,702000,302000,226000
Cutie_street,1,66243793,500000,572000,48000
Momoiro_cloverZ,17,39566975,134168,660000,486000
Angerme,16,8483106,70657,229000,12000
HKT48,14,6137060,345413,261000,67000
Ilife,5,12696779,0,488000,18000
Juice=juice,12,10310484,74759,254000,23000
NMB48,15,23315712,559000,433000,50000
Niziu,5,326299624,311774,2290000,171000
ME:I,2,33312755,263322,718000,181000
