Prefecture,Population,GDP
Tokyo,13463000,120219929
Kanagawa,8941000,35159372
Osaka,8453000,43124192
Aichi,7160000,43083104
Saitama,7083000,24665567
Chiba,6057000,21414302
Hyogo,5204000,23462649
Hokkaido,4989000,20187168
Fukuoka,4980000,20889250
Shizuoka,3411000,
Ibaraki,2716000,14585606
Kyoto,2655000,12476116
Miyagi,2441000,11107553
Niigata,2219000,9614668
Nagano,2078000,9042891
Gifu,1945000,
Gunma,1846000,8225187
Tochigi,1830000,
Okayama,1811000,9762017
Fukushima,1795000,7344951
Mie,1724000,7864963
Kumamoto,1669000,6565053
Kagoshima,1649000,8490601
Okinawa,1513000,6048596
Shiga,1437000,4461530
Yamaguchi,1360000,7005956
Ehime,1267000,
Nara,1260000,6306247
Nagasaki,1259000,5138119
Aomori,1237000,4653614
Iwate,1157000,4439055
Ishikawa,1134000,4797050
Oita,1079000,4717260
Miyazaki,1066000,4900706
Aomori,1021000,3766949
Yamagata,1001000,4340427
Toyama,974000,4927629
Akita,899000,
Kagawa,891000,3629335
Wakayama,871000,3996073
Saga,777000,3148889
Yamanashi,769000,3715030
Fukui,721000,
Tokushima,678000,
Kochi,649000,2407441
Shimane,631000,2752746
Tottori,525000,1912211
