Prefecture,Population,Number of establishments,Proportion of people working in primary industries,Proportion of people working in secondary industries,University enrollment rate,population density,Average annual income,GDP
Tokyo,13463000,464841,0.4,15.2,72.8,"6,451.17",4710000,120219929
Kanagawa,8941000,200931,0.8,20.2,68.1,"3,816.89",4520000,35159372
Osaka,8453000,245313,0.5,22.6,67.6,"4,603.21",4070000,43124192
Aichi,7160000,196050,2,32.4,62.8,"1,443.05",4180000,43083104
Saitama,7083000,155721,1.5,23,64.6,"1,929.89",4260000,24665567
Chiba,6057000,125640,2.5,19.1,62.5,"1,217.00",4350000,21414302
Hyogo,5204000,120231,1.9,25,64.6,635.26,4140000,23462649
Fukuoka,4989000,133409,2.5,20,58.5,"1,022.06",3860000,20187168
Hokkaido,4980000,145345,6.8,17,51.5,64.29,3860000,20889250
Shizuoka,3441000,96599,3.5,32.7,57.3,453.15,4070000,
Ibaraki,2716000,64952,5.2,28.8,56,460.79,4240000,14585606
Hiroshima,2655000,79276,2.8,26.1,64.6,320.44,3930000,12476116
Kyoto,2441000,63850,2,22.5,73,546.66,4020000,11107553
Miyagi,2219000,62906,4.2,22.5,55.2,308.58,3790000,9614668
Niigata,2078000,60155,5.2,28.4,53,166.78,3680000,9042891
Nagano,1945000,58865,8.5,28.8,54.3,146.62,3930000,
Gifu,1846000,52546,2.9,32.6,60,180.12,4000000,8225187
Tochigi,1830000,50345,5.4,31.3,56.9,293.74,4150000,
Gunma,1811000,51442,4.6,31.2,57.1,296.97,3950000,9762017
Okayama,1795000,51252,4.2,27,57,257.31,3850000,7344951
Fukushima,1724000,50615,6.3,29.7,50.1,126.4,3850000,7864963
Kumamoto,1669000,45025,8.9,21.2,49,228.93,3780000,6865053
Mie,1649000,41771,3.2,31.8,54.7,296.37,4040000,8490601
Kagoshima,1513000,42653,8.5,19.1,46.4,166.58,3680000,6048596
Okinawa,1437000,31453,4.2,14.3,46.3,642.85,3590000,4439055
Shiga,1360000,31404,2.5,32.9,61.6,348.69,4150000,7005956
Nara,1267000,24324,2.4,22.1,64.5,348.18,4020000,
Yamaguchi,1260000,34147,4.1,26.2,46.9,209.33,3990000,6306247
Ehime,1259000,35666,7,23.9,56.3,224.7,3810000,5138119
Nagasaki,1237000,31811,6.8,19.3,48.4,302.75,3860000,4653614
Aomori,1157000,30852,11.4,20,53.5,120.76,3710000,4439055
Iwate,1134000,31541,9.7,24.8,47.6,74.92,3730000,4797050
Ishikawa,1079000,32988,2.7,28,60.2,262.12,3940000,4717260
Oita,1066000,30594,6.3,23.1,52.2,171.15,3770000,4900706
Miyazaki,1021000,27850,10.1,20.8,48.6,133.35,3750000,3766949
Yamagata,1001000,28098,8.8,28.7,48.8,108.42,3700000,4340427
Toyama,974000,28472,3,33.3,57.5,234.48,3870000,4927629
Kagawa,899000,28694,4.8,25.1,58.4,488.62,3880000,
Akita,891000,24609,8.8,24,58.4,77.02,3710000,3629335
Wakayama,871000,21275,8.4,22.2,57,186.18,3800000,3996073
Saga,777000,19646,7.6,24,47.9,322.73,3690000,3148889
Yamanashi,769000,21646,6.7,28,61.2,176.97,3920000,3715030
Fukui,721000,22650,3.3,31.6,62.7,176.27,3950000,
Tokushima,678000,19624,7.7,23.3,59.6,165.27,3760000,
Kochi,649000,17396,10.5,17,56,92.32,3550000,2407441
Shimane,631000,18715,6.6,23.5,50,95.62,3710000,2752746
Tottori,525000,14783,7.9,21.7,52,151.43,3640000,1912211
